Company,Ticker,GAAP,Mkt Cap,Total Debt,Leases,Cash,Net Debt,TEV,LTM Rev,NTM Rev,LTM EBITDA,Lease Adj,NTM EBITDA,Lease Adj Applied,EBITDA Margin %,EV/Rev,EV/LTM EBITDA,EV/NTM EBITDA,P/BV,ND/EBITDA
Halliburton Company,NYSE:HAL,US GAAP,41116.74540803676,11402.23392,1336.842,3024.6907199999996,8377.5432,49508.77058803676,30999.389523983456,29709.244727405945,6244.873412490176,556.155654099595,6012.487508891902,True,20.145149657410748,1.5970885668484875,7.927906190863023,8.23432406550832,2.873563,1.352
SLB N.V.,NYSE:SLB,US GAAP,104689.38014693843,17203.442639999997,1240.8636,5902.6716,11300.77104,117540.60622571112,49897.50275524708,51131.62163249353,13175.85844850523,2096.0640229884234,14191.257117639243,True,26.405847429147535,2.3556410588774583,8.92090687563859,8.282607048223529,2.940435,0.893
Baker Hughes Company,NASDAQGS:BKR,US GAAP,87946.23470867434,9189.24624,843.2388,5093.7108,4095.5354399999997,92259.52291785613,38753.4290330253,37609.38132815629,7703.733972490119,1143.0535805363536,7816.18767408624,True,19.878844697652617,2.380680244817393,11.975948708420235,11.803647348915765,3.41926,0.542
NOV Inc.,NYSE:NOV,US GAAP,9957.240235103884,3208.4208,493.60319999999996,2127.97824,1080.44256,11105.45037450387,12218.655878007183,11814.541321177056,1616.7640497317373,197.0300181609118,1558.10984043116,True,13.231930466605673,0.9088929654278083,6.868936983319582,7.12751443212166,1.166245,0.672
Liberty Energy Inc.,NYSE:LBRT,US GAAP,6207.463157293198,847.74430032,87.99985271999999,37.77984048,809.9644598399999,7013.026663269549,5598.0504130121935,5471.9648182570345,903.9178282816504,64.41484217846491,758.8163724359036,True,16.14701121984486,1.2527623272145538,7.7584780871081245,9.242060290234356,2.188717,0.913
Precision Drilling Corporation,TSX:PD,IFRS,1530.16144968,744.238,,85.781,658.457,2193.437449,1843.704,1894.2985700000002,489.615,,492.88585,False,26.556052381510263,1.1896906710621662,4.479922896561584,4.450193587419887,0.965972,1.345
Trican Well Service Ltd.,TSX:TCW,IFRS,1370.27391144,116.35600000000001,,12.465,103.891,1474.164911,1096.189,1303.27143,244.043,4.912,293.8,False,22.262857956064146,1.3448090712459255,6.040594940235942,5.017579683458135,1.97213,0.426
CES Energy Solutions Corp.,TSX:CEU,IFRS,3529.51799112,498.642,,,498.642,4028.159991,2435.027,2598.5333,341.80275,37.00775,424.87620000000004,False,14.036918276470855,1.6542568074193837,11.78504266276383,9.480785205196241,4.492792,1.459
Calfrac Well Services Ltd.,TSX:CFW,IFRS,564.2743818,330.209,,0.579,329.63,893.904381,1476.986,1242.1000000000001,210.14600000000002,9.211,191.3,False,14.228029243337446,0.6052219729909423,4.253730173308081,4.672788191322529,0.726595,1.569
STEP Energy Services Ltd.,TSX:STEP,(Invalid Identifier),,61.562000000000005,,2.511,59.051,,910.4350000000001,,124.049,11.147,,False,13.62524507515638,,,,,0.476
